carrier_id,pca_x,pca_y,grupo
C001,0.9152538055978313,0.9189425081020739,3
C002,0.7331214149241735,0.43789494876522944,3
C003,0.8826836053842363,3.1819977909500565,2
C004,0.8333283400234536,0.7685942420542388,3
C005,0.9557288876237122,-0.749911830370836,0
C006,1.0734186745694265,-0.156158144019004,0
C007,0.7994980016674357,-0.7297048599290459,3
C008,0.7406190643755083,-1.8974982000839307,0
C009,-0.7213508178059332,0.5461858703283148,3
C010,-0.3771311607322276,-0.10849907277665763,3
C011,-0.6350271653381038,0.37447125106741175,3
C012,-0.6056813529349204,0.2968372289360281,3
C013,-0.18045204123761005,-3.057758542304165,0
C014,-0.16320066225520974,-0.8089158864110138,0
C015,-0.13182857545856116,0.014020770647901144,3
C016,-2.73659387539683,0.6067644661207552,1
C017,-3.2083513391259446,0.9421547278923832,1
C018,-3.2078915958075265,0.9876140394222768,1
C019,-2.6476086436878625,-0.20589536418003174,1
C020,-1.744056417598197,-1.7736274093916575,1
C021,-2.037862933171189,-0.8244269160032645,1
C022,-0.4048992305942118,0.3966855427668149,3
C023,-0.24333951513182395,0.3281267884505579,3
C024,0.22265279176670472,-0.40370540452732095,3
C025,2.2787611318869527,2.5277050895882827,2
C026,2.3933152387537437,-0.6584149987580855,0
C027,2.087245606342648,-0.5343945732185268,0
C028,2.4927694635829094,-0.9451506029827561,0
C029,1.2214056516967597,1.255733685419385,3
C030,1.4154736480806533,-0.7296671455554168,0
