costo_real,costo_predicho
4345.57,5567.915141607145
2283.09,2346.180973161838
676.39,730.6677525213678
603.85,1025.2976308921318
1708.25,1589.296787453103
911.83,615.153551858892
902.68,778.5192108917125
4226.95,4480.974634451333
3255.57,4152.653454718979
886.28,1055.0431918936972
318.11,505.7059285558647
2008.98,1653.054930204126
2059.39,2020.461118553808
2078.19,2619.371350581466
1618.1,1672.7280107482343
60.42,61.91024423422485
883.9,847.6330881176406
4442.05,3465.5084221307534
1615.6,1536.8548213604156
1106.67,1255.0416001831504
4143.37,5963.690522019045
959.35,897.9475448188792
2929.49,3084.2824852745935
446.37,343.45541815342835
4319.59,3095.827007867203
473.88,380.34539685999516
2650.85,3272.449987909628
642.11,572.8711782478381
12.2,80.06775255330838
7082.06,6389.425230986868
497.75,608.78872831593
4201.04,3934.012300000002
98.5,137.92548057454928
1981.32,1946.8310999286095
370.67,759.8701398199469
1101.07,1074.184715491684
1281.25,1328.603687500001
3978.57,3582.6102999516406
28.48,63.573745042443015
613.9,659.2745615512134
1914.01,2559.4704612808778
851.15,930.7722835059715
269.72,311.0702611951754
296.19,353.52262980133776
81.98,197.76230608532217
153.01,66.42460555463867
5928.31,6239.6479763856305
924.61,645.6565826773702
125.03,163.66665729100853
126.59,225.86713546286444
1875.96,1627.2297801409904
1163.76,1186.044793968921
219.77,332.68159880050496
359.54,431.19483042617753
4285.06,4639.026690637781
498.86,567.9036842089153
942.27,863.2199561659734
5362.0,5295.49562420423
1355.09,1637.1807199999994
5658.29,6752.477305383044
948.09,1041.0523369740122
423.46,593.6114259792847
547.57,509.7592408157088
1574.82,1408.182308888889
709.61,938.4944999999996
626.13,575.1388861215542
7017.4,10832.36503426573
3204.37,3033.1014686257945
590.94,588.6590562278878
201.66,355.03911410558476
81.51,49.035983678356736
8794.52,9350.16061145452
1420.05,874.2726991666672
2448.5,2210.483901311831
318.46,260.8748058775341
4468.02,5722.110682252789
831.84,1026.355646990982
266.89,405.48236263310014
10734.05,10642.554416666664
394.23,340.11881915069745
492.92,588.4478118759528
165.85,159.79825803792153
2777.96,2494.636887449327
1081.07,1157.4340368256742
2528.12,2842.9592904798833
7816.37,6107.151213305107
4278.84,4393.595800230882
4053.2,4368.602945895477
73.73,50.214999861297386
739.71,770.079300650183
36.36,52.31280697104576
266.12,354.0858633799231
3720.26,3370.86405485763
748.96,873.2840775919112
317.17,257.5809704259553
6800.5,9355.991712484718
11268.92,12182.52925797917
6023.59,4597.674718317587
16600.7,12301.08328652918
3604.55,3835.1615576695535
1282.96,1381.1598827922082
12998.83,8188.388797563371
649.85,739.1346671151648
350.79,349.5744074141297
1709.72,1051.092267529148
1952.79,1947.9771135161905
1887.4,1660.373706037788
6672.14,7311.812804614393
11370.24,8970.074466078959
195.71,95.73150784550536
212.12,316.94607634449045
234.21,290.7936260753824
270.7,439.2229070313296
8237.13,6145.6347620906945
1713.15,1547.7260333780102
1366.71,1437.3328312849503
57.82,72.21720643863858
1038.63,617.9889876421789
2871.95,2812.9474731069813
6160.62,4186.636358489668
4114.38,4155.6559121789605
67.72,118.86452527459215
458.46,327.6731480856895
4389.53,4121.390836354821
3581.91,3968.9058986395744
339.71,384.0036414900297
14.74,143.27903798234408
349.01,382.0656232844379
761.62,784.5453168207131
3502.7,2913.061217105845
89.13,265.3779131162948
144.66,307.4109268047209
839.09,671.706661481276
1731.49,1632.298511263736
72.32,125.6708399255926
415.28,461.9744306745446
362.26,337.17272788203576
339.32,333.9320748501375
314.06,318.87865256505415
334.95,335.393442110388
6245.04,4666.69145747482
271.3,260.6944248138119
1797.86,1486.5294163783358
7286.2,7144.314473127806
3690.15,3661.3199447252755
18718.96,19573.163600000007
712.68,543.5623147767947
1316.83,1488.0761329129452
252.27,304.8872722368314
7205.1,8294.87292719431
375.9,366.4577564992785
1041.2,1169.559989208007
5614.15,4690.924994075691
1024.29,1336.4183476133157
241.19,294.5895649237589
1443.46,934.863694116124
1955.63,1672.8396293784215
1151.27,1437.5201911022848
467.03,425.52842869188214
1133.96,1086.8092484782612
791.61,681.5537025097597
487.0,565.8091996908448
400.66,443.8555320185502
1158.3,1121.7572692897209
516.13,73.24579395669838
382.09,275.775780799733
5361.82,4530.839348015042
621.67,660.1512000510199
1335.16,1011.9430260317464
657.15,554.6396213859288
388.04,263.1854059456261
8838.07,7239.395980502842
386.64,444.2513147818411
1700.13,1825.0216328968258
2171.38,2094.8655520464686
89.79,139.12668860298805
924.66,867.1628421680829
191.48,316.33880312336834
88.08,62.91386984788112
5700.27,7884.756451525128
333.82,278.40049402653653
163.37,300.19074314984704
1647.84,1579.3983639686753
1942.78,1912.432335734127
161.01,506.5023352782002
3609.62,3910.4665560517374
319.17,426.141818426788
312.22,356.84206941674404
430.61,441.99456793927493
2286.7,2715.3236731431984
86.13,171.70528139327223
313.35,297.3085888319778
2077.69,2596.9048289147127
5689.16,6872.0103456915285
2063.4,1844.620069813952
372.09,270.1447221558102
1271.37,1368.2174499858231
399.53,379.609515585771
4934.11,3528.5428666666676
2079.93,2358.6066967251136
15358.54,18292.0137
3207.63,2902.8905098751643
1273.37,1193.3753431400976
2275.89,2437.0592286228434
1272.19,1033.975119637681
242.52,314.6330617557256
249.45,350.13193660688876
4845.17,5344.807949736523
5715.2,4193.293714339022
459.8,612.7575766231988
1178.03,1270.6922181868133
590.09,495.4693722511922
11497.36,9839.213229014007
6288.52,6585.2970874669845
557.09,589.7762721296003
6682.77,6668.397057207552
447.74,423.7588357616742
919.36,1579.553476728451
6627.58,7299.1217464603915
3958.02,3627.635861560254
6476.25,5894.952492559865
4806.66,4887.192537602498
662.67,831.5440022637855
2233.69,2303.0933639202076
704.59,721.9036365516251
7238.9,7509.204167620494
310.31,325.69646665775383
1157.64,1499.47424345918
331.27,106.47305410573036
917.81,1247.9449393055586
780.83,815.8021249999995
129.23,275.3108223286809
